,Unnamed: 0,building_address,location,latitude,longitude
3014,5832,Rosenørns Alle 49 Frederiksberg C,"49, Rosenørns Alle, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 1970, Danmark",55.682677000000005,12.548445
3015,5833,Ahornskellet 32 Frederiksberg,"32, Ahornskellet, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.671229000000004,12.497932
3016,5834,Østerbrogade 35 København Ø,"35, Østerbrogade, Indre Østerbro, Østerbro, København, Københavns Kommune, Region Hovedstaden, 2100, Danmark",55.700054,12.5772
3017,5835,Marstalsgade 49 København Ø,"49, Marstalsgade, Marmormolen, Østerbro, København, Københavns Kommune, Region Hovedstaden, 2100, Danmark",55.704184,12.590023
3018,5836,Sorrentovej 22 København S,"22, Sorrentovej, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.657937,12.623383
3019,5837,Godthåbsvej 102 Frederiksberg,"102, Godthåbsvej, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.688874,12.523771
3020,5838,Peblinge Dossering 20 København N,"20, Peblinge Dossering, Kødbyen, Vesterbro, København, Københavns Kommune, Region Hovedstaden, 2200, Danmark",55.685763,12.560763
3021,5839,Sankt Gertruds Stræde 8B København K,"8B, Sankt Gertruds Stræde, Frederiksstaden, København, Københavns Kommune, Region Hovedstaden, 1129, Danmark",55.683308999999994,12.574458
3022,5841,Engsvinget 11 København NV,,,
3023,5842,Hf. Engly 20 København S,,,
3024,5843,Cedergangen 48 København S,"48, Cedergangen, Christianshavn, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.646156000000005,12.596810000000001
3025,5844,Cedergangen 43 København S,"43, Cedergangen, Christianshavn, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.646386,12.596461
3026,5845,Rådmand Steins Alle 21 Frederiksberg,"Rådmand Steins Alle, Frederiksberg Kommune, Region Hovedstaden, 2500, Danmark",55.672916099999995,12.4959189
3027,5847,Gothersgade 157 København K,"Københavns Cykelbørs, 157, Gothersgade, Vesterbro, København, Københavns Kommune, Region Hovedstaden, 1356, Danmark",55.685748399999994,12.5683839
3028,5850,Willemoesgade 45 København Ø,"45, Willemoesgade, Indre Østerbro, Østerbro, København, Københavns Kommune, Region Hovedstaden, 2100, Danmark",55.698311,12.584412
3029,5851,Dronningens Tværgade 32 København K,"32, Dronningens Tværgade, Frederiksstaden, København, Københavns Kommune, Region Hovedstaden, 1302, Danmark",55.684374,12.585246000000001
3030,5852,Kongelundsvej 100G København S,"100G, Kongelundsvej, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.635222999999996,12.586236
3031,5853,Kongelundsvej 90G København S,"90G, Kongelundsvej, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.636146,12.586689
3032,5854,Brobergsgade 12 København K,"12, Brobergsgade, Christianshavn, København, Københavns Kommune, Region Hovedstaden, 1427, Danmark",55.674962,12.597289
3033,5855,Vester Søgade 68 København V,"68, Vester Søgade, Kødbyen, Vesterbro, København, Københavns Kommune, Region Hovedstaden, 1601, Danmark",55.679911,12.560413
